名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL,建物階数_最小,建物階数_最大,階数_最小,階数_最大
東急目黒線 西小山駅 3階建 新築,東京都目黒区碑文谷１,東急目黒線/西小山駅 歩12分,東急目黒線/武蔵小山駅 歩14分,東急東横線/学芸大学駅 歩19分,0,3階建,1階,160000,5000,160000,160000,2DK,40.62,https://suumo.jp/chintai/jnc_000086930642/?bc=100356779412,0,3,1,1
東急目黒線 西小山駅 3階建 新築,東京都目黒区碑文谷１,東急目黒線/西小山駅 歩12分,東急目黒線/武蔵小山駅 歩14分,東急東横線/学芸大学駅 歩19分,0,3階建,2階,165000,5000,165000,165000,2DK,40.62,https://suumo.jp/chintai/jnc_000086925340/?bc=100356779527,0,3,2,2
東急目黒線 西小山駅 3階建 新築,東京都目黒区碑文谷１,東急目黒線/西小山駅 歩12分,東急目黒線/武蔵小山駅 歩14分,東急東横線/学芸大学駅 歩19分,0,3階建,3階,167000,5000,167000,167000,2DK,40.62,https://suumo.jp/chintai/jnc_000086930643/?bc=100356779402,0,3,3,3
ジュネス青葉台,東京都目黒区青葉台３,東急田園都市線/池尻大橋駅 歩10分,東京メトロ日比谷線/中目黒駅 歩15分,ＪＲ山手線/渋谷駅 歩19分,18,3階建,2階,181000,4000,90500,271500,2LDK,56.74,https://suumo.jp/chintai/jnc_000086836163/?bc=100348378722,0,3,2,2
ジュネス青葉台,東京都目黒区青葉台３,東急田園都市線/池尻大橋駅 歩10分,東京メトロ日比谷線/中目黒駅 歩15分,ＪＲ山手線/渋谷駅 歩19分,18,3階建,2階,181000,4000,90500,271500,2LDK,56.74,https://suumo.jp/chintai/jnc_000086846065/?bc=100354208539,0,3,2,2
ジュネス青葉台,東京都目黒区青葉台３,東急田園都市線/池尻大橋駅 歩10分,東京メトロ日比谷線/中目黒駅 歩15分,ＪＲ山手線/渋谷駅 歩19分,18,3階建,2階,184000,4000,184000,276000,2LDK,56.74,https://suumo.jp/chintai/jnc_000085702845/?bc=100354258902,0,3,2,2
東急目黒線 武蔵小山駅 2階建 築23年,東京都目黒区下目黒５,東急目黒線/武蔵小山駅 歩17分,東急目黒線/不動前駅 歩19分,東急東横線/祐天寺駅 歩22分,23,2階建,2階,130000,3000,130000,130000,2DK,41,https://suumo.jp/chintai/jnc_000086813450/?bc=100356595935,0,2,2,2
ＪＲ山手線 目黒駅 2階建 築31年,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩12分,東急目黒線/不動前駅 歩10分,東急目黒線/武蔵小山駅 歩15分,31,2階建,2階,70000,0,70000,70000,2DK,36.99,https://suumo.jp/chintai/jnc_000086958469/?bc=100356941813,0,2,2,2
東急東横線 祐天寺駅 3階建 築33年,東京都目黒区中町２,東急東横線/祐天寺駅 歩5分,東急東横線/学芸大学駅 歩14分,東京メトロ日比谷線/中目黒駅 歩16分,33,3階建,3階,136000,4000,136000,136000,2DK,41.81,https://suumo.jp/chintai/jnc_000086958475/?bc=100357016594,0,3,3,3
東急東横線 祐天寺駅 3階建 築33年,東京都目黒区中町２,東急東横線/祐天寺駅 歩5分,東急東横線/学芸大学駅 歩14分,東京メトロ日比谷線/中目黒駅 歩16分,33,3階建,3階,136000,4000,136000,136000,2DK,41.81,https://suumo.jp/chintai/jnc_000086968356/?bc=100357015648,0,3,3,3
パルクメゾン,東京都目黒区碑文谷５,東急東横線/学芸大学駅 歩9分,東急東横線/都立大学駅 歩16分,東急目黒線/西小山駅 歩27分,34,2階建,1階,123000,5000,123000,123000,2DK,45.83,https://suumo.jp/chintai/jnc_000085004522/?bc=100351022348,0,2,1,1
東急東横線 中目黒駅 15階建 築2年,東京都目黒区中目黒２,東急東横線/中目黒駅 歩13分,ＪＲ山手線/目黒駅 歩15分,東京メトロ日比谷線/恵比寿駅 歩17分,2,15階建,3階,225000,15000,225000,225000,2DK,40.96,https://suumo.jp/chintai/jnc_000085670732/?bc=100353102029,0,15,3,3
東急東横線 中目黒駅 15階建 築2年,東京都目黒区中目黒２,東急東横線/中目黒駅 歩13分,ＪＲ山手線/目黒駅 歩15分,東京メトロ日比谷線/恵比寿駅 歩17分,2,15階建,2階,225000,15000,225000,225000,2LDK,40.17,https://suumo.jp/chintai/jnc_000086086916/?bc=100351097881,0,15,2,2
東急東横線 中目黒駅 15階建 築2年,東京都目黒区中目黒２,東急東横線/中目黒駅 歩13分,ＪＲ山手線/目黒駅 歩15分,東京メトロ日比谷線/恵比寿駅 歩17分,2,15階建,13階,245000,15000,245000,245000,2DK,42.29,https://suumo.jp/chintai/jnc_000086423489/?bc=100342429655,0,15,13,13
東急東横線 中目黒駅 15階建 築2年,東京都目黒区中目黒２,東急東横線/中目黒駅 歩13分,ＪＲ山手線/目黒駅 歩15分,東京メトロ日比谷線/恵比寿駅 歩17分,2,15階建,15階,315000,15000,315000,315000,2LDK,53.39,https://suumo.jp/chintai/jnc_000077244499/?bc=100350004018,0,15,15,15
東急東横線 中目黒駅 15階建 築2年,東京都目黒区中目黒２,東急東横線/中目黒駅 歩13分,ＪＲ山手線/目黒駅 歩15分,東京メトロ日比谷線/恵比寿駅 歩17分,2,15階建,10階,375000,15000,375000,375000,2LDK,63.57,https://suumo.jp/chintai/jnc_000085934940/?bc=100350060703,0,15,10,10
東急東横線 都立大学駅 4階建 築3年,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急大井町線/緑が丘駅 歩21分,3,4階建,3階,205000,15000,0,0,2SLDK,48.02,https://suumo.jp/chintai/jnc_000085821773/?bc=100349193433,0,4,3,3
東急東横線 都立大学駅 4階建 築3年,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急大井町線/緑が丘駅 歩21分,3,4階建,2階,210000,15000,0,0,2SLDK,48.02,https://suumo.jp/chintai/jnc_000086846095/?bc=100356231848,0,4,2,2
東急東横線 都立大学駅 4階建 築3年,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急大井町線/緑が丘駅 歩21分,3,4階建,3階,210000,15000,0,0,2LDK,47.05,https://suumo.jp/chintai/jnc_000085494156/?bc=100347673571,0,4,3,3
東急東横線 学芸大学駅 3階建 新築,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩8分,東急東横線/祐天寺駅 歩20分,東急東横線/都立大学駅 歩19分,0,3階建,2-3階,283000,15000,0,0,2LDK,59.21,https://suumo.jp/chintai/jnc_000083376181/?bc=100355818280,0,3,2,3
ＪＲ山手線 目黒駅 地下1地上10階建 築1年,東京都目黒区目黒２,ＪＲ山手線/目黒駅 歩7分,東急目黒線/不動前駅 歩12分,ＪＲ山手線/恵比寿駅 歩20分,1,地下1地上10階建,5階,274000,20000,0,0,2LDK,44.22,https://suumo.jp/chintai/jnc_000080318876/?bc=100351823321,-1,10,5,5
ＪＲ山手線 目黒駅 地下1地上10階建 築1年,東京都目黒区目黒２,ＪＲ山手線/目黒駅 歩7分,東急目黒線/不動前駅 歩12分,ＪＲ山手線/恵比寿駅 歩20分,1,地下1地上10階建,10階,310000,20000,0,0,2LDK,44.22,https://suumo.jp/chintai/jnc_000082318250/?bc=100353283563,-1,10,10,10
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,7階,309000,20000,309000,0,2LDK,47.06,https://suumo.jp/chintai/jnc_000084849611/?bc=100318694934,0,18,7,7
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,10階,320000,20000,320000,0,2LDK,47.06,https://suumo.jp/chintai/jnc_000084856895/?bc=100349871596,0,18,10,10
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,17階,340000,30000,340000,0,2LDK,52.2,https://suumo.jp/chintai/jnc_000086086894/?bc=100317287436,0,18,17,17
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,17階,340000,30000,340000,0,2LDK,51.46,https://suumo.jp/chintai/jnc_000085371579/?bc=100355764389,0,18,17,17
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,7階,375000,20000,0,0,2LDK,54.77,https://suumo.jp/chintai/jnc_000080760479/?bc=100319822733,0,18,7,7
